"DATA","HORÁRIO","BLOCO","LOCAL DA CONCETRAÇÃO","RITMOS","TAMANHO PÚBLICO","LGBT"
"08/02","15h","Bloco Cai Lua","R. Frei Hilário, 10, Planalto","AXÉ, ROCK, MPB, SAMBA, POP, OUTROS, AFRO","Pequeno",""
"08/02","15h","Bloco do Madruga","R. Veríssimo, 146, Salgado Filho","AXÉ, FUNK, SAMBA, MARCHINHA","Pequeno",""
"08/02","15h","Boi Rosado","R. Angelo Rabelo, 54, Santa Tereza","FORRÓ, OUTROS","Pequeno",""
"08/02","15h","Siaxegue","Av. Guarapari, 1367, Santa Amélia","AXÉ, MPB, PAGODE, SAMBA, MARCHINHA","Pequeno",""
"08/02","15h","Trem Du Bão","Av. Santa Matilde, 190, João Pinheiro","MPB, AFRO","Médio",""
"08/02","16h","Bloco Álibe","Praça Cristo Redentor, Milionários","AXÉ, FUNK, ROCK, FORRÓ, PAGODE, SAMBA, SERTANEJO, POP, MARCHINHA, OUTROS, AFRO","Pequeno",""
"08/02","17h","Viaduto Carna Trance","R. da Bahia, 15, Centro","TRANCE","Pequeno",""
"10/02","18h","Sai Pra Lá Capeta","Praça México, Concórdia","AXÉ, MPB, SAMBA, POP, OUTROS","Médio","🏳️‍🌈"
"11/02","16h","Chama o Síndico","Av. Afonso Pena, 1377, Centro","MPB","Grande","🏳️‍🌈"
"12/02","13h","Bloco da Rua","R. Rio de Janeiro, 1010, Centro","OUTROS, AFRO","Pequeno",""
"12/02","16h","TBTechno","R. da Bahia, 55, Centro","TECHNO","Pequeno",""
"12/02","18h","Arrastão do Hott","Av. Antônio Abrahão Caram, 972, São José","AXÉ","Grande",""
"12/02","18h","Bloco do Beijo","R. Sergipe, 779, Savassi","AXÉ","Pequeno",""
"12/02","18h30","Bloco dos 3 Preto","R. Antonio Peixoto Guimarães, 450, Caiçara","PAGODE, SAMBA","Pequeno",""
"12/02","18h30","Esquina da Folia","R. São Borja, 835, Nova Vista","AXÉ, FORRÓ, SAMBA","Pequeno",""
"12/02","21h","Bloco da Bicicletinha","Av. Carandaí, 617, Funcionários","AXÉ, FUNK, ROCK, MPB, JAZZ, FORRÓ, PAGODE, SAMBA, POP, OUTROS, AFRO","Médio","🏳️‍🌈"
"13/02","14h","Bloco do Claudinho","R. Mármore, 312, Santa Tereza","AXÉ, ROCK, MPB, POP, OUTROS","Pequeno",""
"13/02","15h30","Margarida Perfumada MP","R. Dez de Novembro, 176, São Tomáz","MPB, SAMBA, POP, AFRO","Pequeno",""
"13/02","17h","Bloco da Sol","R. Vinte e Cinco de Agosto, 444, Aparecida","AXÉ, FUNK, MPB, SAMBA, POP, OUTROS, AFRO","Pequeno",""
"13/02","17h","Bloco Diretucada","Av. Álvares Cabral, 366, Lourdes","AXÉ, ROCK, MPB, PAGODE, SAMBA, SERTANEJO, POP, MARCHINHA","Pequeno",""
"13/02","17h","Ô Doral, Pega no meu Braço!","R. Leonil Prata, 535, Alípio de Melo","AXÉ, PAGODE, SAMBA","Pequeno",""
"13/02","17h","Passa Lá no RH e Me Chama que Eu Vou","R. Tomé de Souza, 840, Savassi","AXÉ, FORRÓ, SAMBA, MARCHINHA, AFRO","Médio",""
"13/02","17h","Prove Primeiro","R. Jacana, 26, Providência","AXÉ, FUNK, FORRÓ, PAGODE, SAMBA, SERTANEJO, POP, MARCHINHA, AFRO","Pequeno",""
"13/02","17h","Sexta, Ninguém Sabe?","R. Alvarenga Peixoto, 991, Santo Antônio","ROCK, MPB, SAMBA, POP","Médio","🏳️‍🌈"
"13/02","17h","Timbaleiros do Ghetto","R. Aarão Reis, 585, Centro","AXÉ, AFRO","Médio","🏳️‍🌈"
"13/02","17h","WS Eletrico","R. Sergipe, 841, Savassi","AXÉ, ROCK, MPB, FORRÓ, SAMBA, SERTANEJO, POP, OUTROS","Médio",""
"13/02","17h30","Bloco do Grifo","Av. Oscar Paschoal, 610, São José","AXÉ, MPB, PAGODE, SAMBA, POP, SERTANEJO, FUNK, OUTROS","Pequeno",""
"13/02","18h","Bloco do Intervalo","R. David Campista, 42, Floresta","AXÉ, MPB, SAMBA, MARCHINHA","Pequeno",""
"13/02","18h","Os Meninos da Meia Noite","R. Sete de Abril, 485, Esplanada","FORRÓ, SAMBA, MARCHINHA, AFRO","Pequeno",""
"13/02","18h","Pagode do Paulinho","R. Alberto Cintra, 365, União","PAGODE, SAMBA","Pequeno",""
"13/02","18h30","No Caminho","R. Doutor Mário Magalhães, 506, Itapoã","AXÉ, SAMBA, MARCHINHA, AFRO","Pequeno",""
"13/02","19h","Afro-Periférico Orisamba","R. Fagundes Varela, 95, Senhor dos Passos","AXÉ, FUNK, ROCK, MPB, FORRÓ, PAGODE, SAMBA, POP, OUTROS, AFRO","Pequeno",""
"13/02","19h","A Roda","Av. Augusto de Lima, 1715, Barro Preto","AXÉ, MPB, OUTROS, AFRO","Médio","🏳️‍🌈"
"13/02","19h","Vô Manoel","R. Evaristo da Veiga, 140, Senhor dos Passos","AXÉ, AFRO","Pequeno",""
"13/02","20h","Baião de Rua","R. Marechal Deodoro, 21, Floresta","FORRÓ","Pequeno",""
"13/02","23h","Bloco Fúnebre","Praça da Bandeira","ROCK, MPB, JAZZ, SAMBA, POP, MARCHINHA, AFRO","Grande","🏳️‍🌈"
"","A PROGRAMAÇÂO COM A SEMANA DE CARNAVAL (14 A 22/02) ESTÁ SENDO ATUALIZADA","","","","",""
"14/02","05h","Então, Brilha","R. Curitiba, 8, Centro","AXÉ, MPB, SAMBA E POP","Grande","🏳️‍🌈"
"14/02","09h","Tamborins Tantãs","Av. Assis Chateabriand, 98, Floresta","SAMBA, MARCHINHA, OUTROS","Pequeno","🏳️‍🌈"
"14/02","09h","Quando Come Se Lambuza","Av. Afonso Pena, 955, Centro","MPB, AXÉ, FUNK, PAGODE, POP, SERTANEJO, OUTROS","Grande",""
"14/02","11h","Bloco do Torresmo","R. Mármore, 261, Santa Tereza","MINEIRIDADES, SAMBA, AXÉ, MPB, POP, ROCK","Médio","🏳️‍🌈"
"14/02","11h","Uai Ce Samba","Av. Abraão Caram, 1001, São José","SAMBA","Médio",""
"14/02","12h","Bloco da Calixto","Av. Amazonas, 507, Centro","AXÉ, SAMBA, PAGODE, POP, REGGAE, ROCK, OUTROS","Médio","🏳️‍🌈"
"14/02","13h","Asa de Banana","Av. Augusto de Lima, 1833, Barro Preto","AXÉ, ROCK, POP, OUTROS","Médio",""
"14/02","13h","Faraó","Av. dos Andradas, 751, Centro","AXÉ, SAMBA, AFRO, OUTROS","Médio","🏳️‍🌈"
"14/02","13h","Nada Santa","R. Mármore, 247, Santa Tereza","MARCHINHA, BRASILEIRAS, OUTRAS","Pequeno","🏳️‍🌈"
"14/02","14h","Seu Vizinho","Av. Mem de Sá, 1724, Santa Efigênia","AFRO, FUNK, SAMBA, PAGODE, OUTROS","Grande","🏳️‍🌈"
"14/02","14h","Filhas de Gaby e os Desgarrados","R. Ceará, 1461, Funcionários","SAMBA, FUNK, MARCHINIHAS, OUTROS","Médio","🏳️‍🌈"
"14/02","14h","Volta Belchior","Av. dos Andradas, 3700, Pompéia","MPB","Grande",""
"14/02","14h30","Buritis Guimarães Rosa","Av. Henrique Badaró Portugal, 170, Buritis","MARCHINHA","Pequeno","👶"
"14/02","A anunciar","Bloco da Bôta - Baile da Bôta","A anunciar","MÚSICA ELETRÔNICA DE PAREDÃO","Médio","🏳️‍🌈"
"15/02","07h","Lagum Na Avenida","R. Sergipe, 1000, Savassi","POP","Grande","🏳️‍🌈"
"15/02","07h","Pena de Pavão de Krishna","Av. José Cândido da Silveira, 1637, União","AXÉ, SAMBA, AFRO, OUTROS","Médio","🏳️‍🌈"
"15/02","08h","Bloco de Pífanos BH","R. Mármore, 170, Santa Tereza","MPB, FORRÓ, OUTROS, AFRO","Médio","🏳️‍🌈"
"15/02","08h","Bloco do Corre","Alameda das Palmeiras, 839, São José","AXÉ, FUNK, ROCK, FORRÓ, PAGODE, SAMBA, SERTANEJO, POP, MARCHINHA, OUTROS, AFRO","Pequeno",""
"15/02","09h","Galo Buritis","Av.Henrique Badaró Portugal, Buritis","MARCHINHA, SAMBA, AXÉ E PAGODE","Pequeno",""
"15/02","09h30","Todo Mundo Cabe No Mundo","R. Piauí, 631, Santa Efigênia","","Pequeno","🏳️‍🌈"
"15/02","10h","Abalô-Caxi","Praça Sete, Centro","TROPICÁLIA, MPB, POP, OUTROS","Grande","🏳️‍🌈"
"13/02","10h","Afro-Periférico Orisamba","R. Itapecerica, 331, Lagoinha","AXÉ, FUNK, ROCK, MPB, FORRÓ, PAGODE, SAMBA, POP, OUTROS, AFRO","Pequeno",""
"15/02","10h","Beiço do Wando","A divulgar","MPB, OUTROS","Grande","🏳️‍🌈"
"15/02","12h","Abacabloco","R. Sergipe, 212, Boa Viagem","SAMBA, SERTANEJO, OUTROS","Pequeno",""
"15/02","14h"," É o Amo","Av. dos Andradas, 3700, Pompéia","SERTANEJO","Grande","🏳️‍🌈"
"15/02","14h","Baile da Serra","Av. Mem de Sá, 1806, Serra","FUNK","Pequeno",""
"15/02","14h","Batuque Coletivo","Praça Tiradentes, Centro","AXÉ, ROCK, POP, FUNK, SAMBA, SERTANEJO","Médio","🏳️‍🌈"
"15/02","15h","Avulsa & Fluvox","R. Ouro Preto, 368, Barro Preto","TECNO","Pequeno","🏳️‍🌈"
"15/02","15h","Eleganza","Av. Augusto de Lima, 1845, Barro Preto","POP","Médio","🏳️‍🌈"
"15/02","15h","Quem Eu Quero Não Me Quer","R. Senador Lima Guimarães, 133, Buritis","SERTANEJO","Pequeno",""
"16/02","09h","Baianas Ozadas","Av. Afonso Pena, 955, Centro","AXÉ, SAMBA, AFRO, POP, OUTROS","Grande","🏳️‍🌈"
"16/02","09h","Meninos do Morro","R. Mármore, 140, Santa Tereza","AXÉ, FUNK, ROCK, MPB, FORRÓ, PAGODE, SAMBA, SERTANEJO, POP, MARCHINHA, AFRO","Pequeno",""
"16/02","10h","Havayanas Usadas","Av. dos Andradas, 3700, Pompéia","AXÉ, PAGODE, SAMBA, AFRO, OUTROS","Grande","🏳️‍🌈"
"16/02","10h30","Não Acredito que te Beijei","Av. Deputado Álvaro Antônio","AXÉ, MPB, PAGODE, MARCHINHA","Médio","🏳️‍🌈"
"16/02","13h30","Bloco da Cíclica","Praça Carlos Marques, Calafate","AXÉ, ROCK, MARCHINHAS, OUTROS","Pequeno",""
"16/02","14h","Bloco dos Gêmeos com Luísa Sonza","Av. Brasil, 1132, Funcionários","POP, FUNK, OUTROS","Médio","🏳️‍🌈"
"16/02","14h","Bloco da Pri","Praça México, Concórdia ","POP, AXÉ, MPB, OUTROS","Médio","🏳️‍🌈"
"16/02","15h","Bloco and Roll","R. Guajajaras, 2126, Barro Preto","ROCK","Médio",""
"16/02","15h","Sou Vermelho","Av. Álvares Cabral, 400, Lourdes","","Pequeno","🏳️‍🌈"
"16/02","A divulgar","Daquele Jeito","A divulgar","PAGODE, POP, OUTROS","Médio","🏳️‍🌈"
"16/02","A divulgar","Me Deixe","A divulgar","AXÉ, MPB, OUTROS","Médio",""
"17/02","09h","Banho de Xêro","Av. Guarapari, 646, Santa Amélia","SAMBA, AFRO, OUTROS","Pequeno","🏳️‍🌈"
"17/02","09h","Bora Pro Nóbis","Praça da Bandeira, Mangabeiras","SAMBA, FUNK, AXÉ, OUTROS","Pequeno",""
"17/02","10h","Funk You","Praça Sete, Centro","FUNK","Grande",""
"17/02","11h","Esperando o Metrô","A divulgar","SAMBA, AXÉ, POP, OUTROS","Médio",""
"17/02","16h","Baque de Mina","Av. Álvares Cabral, 241, Centro","MARACATU","Pequeno","🏳️‍🌈"
"17/02","A divulgar","Chega o Rei","A divulgar","MPB, SAMBA, ROCK, OUTROS","Médio",""
"17/02","A divulgar","Pisa na Fulô","A divulgar","FORRÓ","Grande","🏳️‍🌈"
"21/02","A divulgar","Bloco do Pedro Sampaio","A divulgar","POP, FUNK, OUTROOS","Grande","🏳️‍🌈"
"21/02","9h","Ziriggydum Stardust","R. Itajubá, 268, Floresta","GLAM ROCK, POP, MPB, AXÉ","Grande","🏳️‍🌈"
"22/02","13h30","Filhas de Clara","Av. Clara Nunes, 88, Renascença","MPB, SAMBA, OUTROS","Médio","🏳️‍🌈"
