"DATA","HORÁRIO","BLOCO","LOCAL DA CONCETRAÇÃO","RITMOS","TAMANHO PÚBLICO","LGBT"
"01/02","13h","Filhas de Gaby e os Desgarrados","R. Santo Antônio do Monte, 486, Santo Antônio","FUNK, SAMBA, MARCHINHA","Médio","🏳️‍🌈"
"01/02","14h","Alforriado Matias","R. Jeriba, 12, Olaria","AXÉ, FUNK, MPB, FORRÓ, PAGODE, SAMBA, MARCHINHA, AFRO","Médio",""
"01/02","14h","Babadan Banda de Rua","Av. Américo Vespúcio, 1947, Nova Esperança","AXÉ, FUNK, MPB, JAZZ, SAMBA, POP, OUTROS, AFRO","Médio",""
"01/02","14h","Brókio do Xai-Xai","R. Sergipe, 790, Savassi","AXÉ, FUNK, ROCK, MPB, FORRÓ, PAGODE, SAMBA, POP, MARCHINHA, OUTROS, AFRO","Médio","🏳️‍🌈"
"01/02","14h","Tô de Chico","R. Conselheiro Rocha, 1605, Vila Dias","AXÉ, MPB, FORRÓ, PAGODE, SAMBA, POP, MARCHINHA, AFRO","Pequeno",""
"01/02","14h","Vemkenke","R. Senhor Simeone, 256, Jonas Veiga","AXÉ, MARCHINHA","Pequeno","🏳️‍🌈"
"01/02","15h","Bloco dos Hermanos","R. dos Tabaiares, 100, Floresta","AXÉ, FUNK, ROCK, MPB, SAMBA, MARCHINHA, OUTROS","Pequeno",""
"01/02","15h","Passistas Show BH","R. Ministro de Oliveira Salazar, 500, Santa Mônica","SAMBA, MARCHINHA, AFRO","Pequeno",""
"01/02","15h","Patangome Maracarte","R. Atalaia, 211, Floresta","MARACATU","Pequeno","🏳️‍🌈"
"01/02","16h","Bloco Zona Norte","R. Cecília Pinto, 16, Vila Aeroporto","AXÉ, FUNK","Médio",""
"02/02","14h","ABAFRO - Associação de Blocos Afro de Minas Gerais","Praça Alberto Dalva Simão, São Luiz","OUTROS, AFRO","Pequeno",""
"05/02","17h","Bloco Cidade Nova Piro-Leerita","R. Afonso Pena Junior, 141, Cidade Nova","AXÉ, ROCK, SAMBA, MARCHINHA","Pequeno",""
"06/02","12h","Bloco Insituto CDDown","R. General Ephigenio Ruas Santos, 323, Itapoã","MPB, FORRÓ, MARCHINHA, OUTROS, AFRO","Pequeno",""
"06/02","17h30","Na Cadência do Samba","R. Vinte e Cinco de Agosto, 399, Aparecida","SAMBA","Pequeno",""
"06/02","18h","Flor & Amar","Av. Joaquim Clemente, 320, Floramar","AXÉ, FUNK, ROCK, MPB, FORRÓ, PAGODE, SAMBA, POP, AFRO","Pequeno",""
"06/02","18h","Se Avexe Não","Praça Geraldo Torres, 172, Padre Eustáquio","FORRÓ","Pequeno",""
"06/02","19h","Abre-te Sésamo","Av. Augusto de Lima, 1833, Barro Preto","ROCK, POP","Médio",""
